"Journey","Train ID","Lateness (mins)"
"13:12 from Eastbourne to Ashford International (14:18)","X06943","13"
"13:12 from Portsmouth Harbour to Horsham (14:16)","X07869","21"
"13:13 from Southampton Central to Horsham (14:45)","X07871","12"
"13:14 from Reigate to London Victoria C (13:51)","X08288","6"
"13:24 from Caterham to London Victoria C (14:16)","X09238","5"
"13:24 from Sutton Surrey to London Victoria C (14:06)","X09326","62"
"13:28 from Brighton to London Victoria C (14:24)","X07785","8"
"13:29 from Portsmouth Harbour to Brighton (14:48)","X09171","6"
"13:30 from Bognor Regis to London Victoria C (15:10)","X07868","26"
"13:33 from Ashford International to Eastbourne (14:39)","X06945","14"
"13:33 from Eastbourne to Eastbourne Sidings (13:20)","X20001","0"
"13:47 from London Victoria C to Ore (15:49)","X07966","9"
"13:50 from London Victoria C to Brighton (14:46)","X07782","5"
"13:51 from Littlehampton to Haywards Heath (14:39)","X08106","9"
"13:54 from Barnham to Bognor Regis (14:01)","X08877","5"
"13:54 from Caterham to London Victoria C (14:46)","X09240","13"
"13:55 from Eastbourne to London Victoria C (15:27)","X07973","13"
"13:56 from Bognor Regis to London Victoria C (15:40)","X07870","14"
"14:06 from Bognor Regis to Littlehampton (14:23)","X09236","7"
"14:06 from London Victoria C to Portsmouth Harbour (16:03)","X07843","9"
"14:09 from London Victoria C to Reigate (14:43)","X08229","8"
"14:14 from Littlehampton to London Victoria C (15:57)","X08108","21"
"14:14 from London Bridge C to London Victoria C (15:09)","X08698","6"
"14:14 from Reigate to London Victoria C (14:51)","X08290","6"
"14:17 from London Victoria C to Littlehampton (15:53)","X08097","26"
"14:20 from London Victoria C to Brighton (15:16)","X07786","26"
"14:21 from Eastbourne Sidings to Eastbourne (14:37)","X20002",""
"14:26 from Southampton Central to Brighton (16:20)","X23186","7"
"14:30 from Bognor Regis to London Victoria C (16:10)","X07872","5"
"14:32 from Horsham to Bognor Regis (15:17)","X08322","7"
"14:33 from Sutton Surrey to London Victoria C (15:23)","X09391","6"
"14:36 from Haywards Heath to Littlehampton (15:29)","X08095","13"
"14:36 from London Victoria C to Southampton Central (17:01)","X08147","8"
"14:36 from London Victoria C to Sutton Surrey (15:27)","X09965","8"
"14:39 from London Victoria C to Tonbridge (15:39)","X08275","5"
"14:40 from Brighton to Seaford (15:17)","X07075","6"
"14:40 from London Bridge C to West Croydon (15:19)","X08999","7"
"14:47 from London Victoria C to Ore (16:49)","X07970","8"
"14:49 from London Victoria C to London Bridge C (15:39)","X08705","9"
"14:50 from London Victoria C to Brighton (15:46)","X07790","7"
"14:52 from Brighton to Ore (16:17)","X06990","10"
"14:56 from Bognor Regis to London Victoria C (16:40)","X07874","10"
"14:56 from Lovers Walk TR.S.M.D to Hove (15:19)","X07233","25"
"15:02 from Horsham to Bognor Regis (15:44)","X08308","6"
"15:03 from London Victoria C to Sutton Surrey (15:48)","X09337","5"
"15:06 from Haywards Heath to Eastbourne (15:46)","X07968","8"
"15:06 from London Victoria C to Portsmouth Harbour (17:03)","X07846","5"
"15:06 from London Victoria C to Sutton Surrey (15:57)","X09966","10"
"15:14 from Littlehampton to London Victoria C (16:57)","X08113","8"
"15:23 from London Victoria C to East Grinstead (16:18)","X09089","7"
"15:25 from London Bridge C to Beckenham Junction C (16:01)","X09905","8"
