"Journey","Train ID","Lateness (mins)"
"16:36 from Haywards Heath to Littlehampton (17:29)","X27115","7"
"16:36 from London Victoria C to Southampton Central (19:01)","X27198","14"
"16:43 from Chichester to Horsham (17:18)","X31514","16"
"16:47 from London Victoria C to Ore (18:49)","X26926","9"
"16:50 from London Bridge C to Tattenham Corner (17:40)","X27320","6"
"16:50 from London Victoria C to Brighton (17:46)","X26572","7"
"16:51 from Littlehampton to Haywards Heath (17:39)","X27139","10"
"16:53 from Brighton to West Worthing (17:20)","X28937","10"
"16:53 from London Victoria C to East Grinstead (17:48)","X29027","5"
"16:55 from Eastbourne to London Victoria C (18:27)","X26938","15"
"16:56 from Bognor Regis to London Victoria C (18:40)","X26736","11"
"17:00 from Chichester to Brighton (17:48)","X29166","5"
"17:02 from Horsham to Bognor Regis (17:44)","X27523","5"
"17:04 from Brighton to Chichester (17:50)","X31469","13"
"17:06 from London Victoria C to Chichester (18:33)","X31527","9"
"17:09 from London Victoria C to Reigate (17:43)","X27347","5"
"17:13 from Southampton Central to Horsham (18:45)","X26747","14"
"17:13 from West Worthing to Brighton (17:42)","X28174","7"
"17:23 from Brighton to West Worthing (17:51)","X28938","5"
"17:30 from Horsham to London Bridge C (18:48)","X27688","5"
"17:32 from Horsham to Bognor Regis (18:17)","X27538","14"
"17:36 from Haywards Heath to Littlehampton (18:29)","X27121","14"
"17:40 from Brighton to Seaford (18:14)","X28446","6"
"17:43 from Chichester to Horsham (18:18)","X31515","11"
"17:47 from London Victoria C to Ore (19:49)","X26933","20"
"17:50 from London Bridge C to Tattenham Corner (18:40)","X27322","5"
"17:50 from London Victoria C to Brighton (18:46)","X26583","5"
"17:55 from Eastbourne to London Victoria C (19:27)","X26944","11"
"17:56 from Bognor Regis to London Victoria C (19:50)","X26745","20"
"17:57 from London Bridge C to Horsham (19:12)","X27674","13"
"18:00 from Chichester to Brighton (18:48)","X29170","17"
"18:03 from Brighton to Chichester (18:50)","X29165","5"
"18:06 from London Victoria C to Chichester (19:33)","X31528","23"
"18:09 from London Victoria C to Reigate (18:43)","X27348","13"
"18:10 from Littlehampton to Bognor Regis (18:29)","X29338","7"
"18:11 from Southampton Central to London Victoria C (20:52)","X26636","11"
"18:14 from Littlehampton to London Victoria C (19:57)","X27147","20"
"18:17 from London Victoria C to Littlehampton (19:57)","X27137","9"
"18:20 from London Victoria C to Brighton (19:16)","X26587","9"
"18:24 from Caterham to London Victoria C (19:16)","X29369","6"
"18:30 from Horsham to London Bridge C (19:48)","X27569","5"
"18:32 from Southampton Central to Brighton (20:21)","X27245","11"
"18:36 from Haywards Heath to Littlehampton (19:29)","X27132","16"
"18:43 from Chichester to London Victoria C (20:21)","X31517","30"
"18:47 from London Victoria C to Ore (20:49)","X26939","36"
"18:55 from Eastbourne to London Victoria C (20:27)","X26952","10"
"18:57 from London Bridge C to Horsham (20:12)","X27686","7"
"18:58 from Brighton to London Victoria C (19:54)","X26420","9"
"19:00 from Chichester to Brighton (19:50)","X29174","10"
"19:00 from Horsham to London Bridge C (20:18)","X27575","7"
"19:02 from Horsham to Bognor Regis (19:44)","X27525","27"
"19:02 from London Victoria C to Chichester (20:34)","X31384","19"
"19:03 from Brighton to Chichester (19:58)","X29169","16"
"19:06 from Haywards Heath to Eastbourne (19:46)","X26936","5"
"19:07 from East Grinstead to London Victoria C (20:05)","X29044","9"
"19:09 from Southampton Central to London Victoria C (21:49)","X26748","12"
"19:10 from Brighton to Seaford (19:47)","X28458","5"
"19:10 from London Bridge C to West Croydon (19:49)","X28872","10"
"19:14 from Littlehampton to London Victoria C (20:58)","X27154","12"
"19:17 from London Victoria C to Epsom (19:59)","X27853","5"
"19:17 from London Victoria C to Littlehampton (20:57)","X27143","6"
"19:18 from Tattenham Corner to London Bridge C (20:12)","X27060","5"
"19:25 from Caterham to London Victoria C (20:16)","X29372","23"
"19:25 from London Bridge C to Beckenham Junction C (20:01)","X28660","8"
"19:28 from Brighton to London Victoria C (20:24)","X26432","10"
"19:29 from Brighton to Southampton Central (21:19)","X27275","20"
"19:30 from Bognor Regis to London Victoria C (21:17)","X31456","18"
"19:32 from Horsham to Bognor Regis (20:17)","X27540","21"
"19:36 from Haywards Heath to Littlehampton (20:29)","X27141","31"
"19:37 from Caterham to London Bridge C (20:32)","X28545","15"
"19:37 from East Grinstead to London Victoria C (20:35)","X29048","5"
"19:40 from Bognor Regis to Haywards Heath (20:41)","X27156","7"
"19:47 from Redhill to Three Bridges Up Sdg North (20:09)","X30026",""
"19:50 from London Victoria C to Brighton (20:47)","X26416","7"
