"Journey","Train ID","Lateness (mins)"
"21:54 from Gillingham Kent to London Victoria (23:17)","J54670","5"
"21:55 from London Victoria to Sevenoaks (22:40)","J54718","7"
"21:58 from Dover Priory to Tonbridge (23:08)","J55536","8"
"21:58 from London Victoria to Sevenoaks (22:52)","J55634","9"
"21:58 from Orpington to London Victoria (22:34)","J55049","8"
"22:01 from Faversham to Dover Priory (22:41)","J54607","11"
"22:02 from Ashford International to Grove Park C.S.D. (23:08)","X05335",""
"22:04 from Tonbridge to Strood (22:56)","J55415","11"
"22:05 from Faversham to Ramsgate E.M.U.D. (22:49)","J55796","0"
"22:08 from Dartford to London Victoria (22:58)","J55492","5"
"22:12 from London Victoria to Orpington (22:49)","J55226","7"
"22:12 from St. Pancras International to Margate (23:39)","J54482","11"
"22:21 from Sheerness-on-Sea to Sittingbourne (22:38)","J55080","7"
"22:22 from Tonbridge to Ashford International (22:57)","J55347","6"
"22:28 from Orpington to London Victoria (23:04)","J55055","6"
"22:32 from Tunbridge Wells to St. Leonards W.M. C.S.D. (23:55)","X05249",""
"22:36 from Ashford International to Dover Priory (23:07)","J54534","8"
"22:39 from Hayes Kent to London Victoria (23:21)","J55597","7"
"22:42 from Ashford International to Ashford Down Sidings (23:03)","J55773","0"
"22:42 from London Victoria to Orpington (23:19)","J55228","7"
"22:54 from Ashford International to Ashford Down Sidings (23:17)","J55755","0"
"22:58 from Orpington to London Victoria (23:34)","J55061","9"
"23:01 from Strood to Gillingham E.M.U.D. (23:27)","J55787","0"

"Copyright 2015 raildar.co.uk. Usage under terms of licence, visit site for more details. Data provided AS IS without warranty."
